item,mrp,unit
Parle G Biscuit 70g,20,pack
Amul Gold Milk 1L,60,pack
Sunfeast Marie 100g,25,pack
Tata Salt 1kg,20,pack
Fortune Refined Oil 1L,200,pack
Sugar 1kg,45,kg
Rice (generic) 1kg,50,kg
Potato 1kg,30,kg
Onion 1kg,40,kg
Tomato 1kg,40,kg
Aashirvaad Atta 5kg,240,pack
Aashirvaad Atta 10kg,460,pack
Fortune Basmati Rice 1kg,110,kg
India Gate Basmati Rice 5kg,650,pack
Fortune Soyabean Oil 1L,180,pack
Amul Butter 100g,58,pack
Amul Butter 500g,280,pack
Amul Cheese Slices 200g,140,pack
Mother Dairy Toned Milk 1L,52,pack
Britannia Good Day 100g,30,pack
Britannia Bourbon 150g,35,pack
Cadbury Dairy Milk 24g,20,pack
Cadbury Dairy Milk 110g,80,pack
Maggi Noodles 70g,14,pack
Maggi 2-Minute Noodles 280g,55,pack
Top Ramen Noodles 70g,15,pack
Tata Tea Premium 500g,250,pack
Red Label Tea 250g,140,pack
Nescafé Classic 50g,150,pack
Bru Green Label Coffee 50g,120,pack
Complan Chocolate 500g,320,pack
Bournvita 500g,360,pack
Horlicks 500g,350,pack
Boost 500g,360,pack
Coca-Cola 750ml,40,bottle
Coca-Cola 2L,85,bottle
Pepsi 750ml,40,bottle
Sprite 750ml,40,bottle
Sprite 2L,90,bottle
Frooti 600ml,35,bottle
Maaza 600ml,40,bottle
Real Orange Juice 1L,110,pack
Real Apple Juice 1L,120,pack
Kellogg's Cornflakes 500g,190,pack
Quaker Oats 1kg,160,pack
Chana Dal 1kg,70,kg
Toor Dal 1kg,120,kg
Moong Dal 1kg,110,kg
Urad Dal 1kg,100,kg
Masoor Dal 1kg,90,kg
Chole (Kabuli Chana) 1kg,120,kg
Matar Dal 1kg,80,kg
Besan 1kg,70,kg
Wheat Flour (local) 1kg,45,kg
Groundnut Oil 1L,170,pack
Sunflower Oil 1L,160,pack
Olive Oil 1L,550,pack
Mustard Oil 1L,150,pack
Ghee Cow 1L,500,pack
Ghee Desi 500ml,280,pack
Bread White Loaf,30,pack
Bread Brown Loaf,35,pack
Eggs 6pcs,40,pack
Eggs 12pcs,80,pack
Paneer 200g,90,pack
Paneer 1kg,360,kg
Curd 500g,30,pack
Curd 1kg,60,pack
Cucumber 1kg,40,kg
Carrot 1kg,50,kg
Beetroot 1kg,45,kg
Cabbage 1kg,35,kg
Cauliflower 1pc,40,pack
Green Peas 1kg,90,kg
Bottle Gourd 1kg,30,kg
Bitter Gourd 1kg,45,kg
Capsicum 1kg,80,kg
Ginger 1kg,120,kg
Garlic 1kg,150,kg
Banana 1dozen,50,pack
Papaya 1kg,45,kg
Apple 1kg,180,kg
Orange 1kg,120,kg
Pomegranate 1kg,200,kg
Grapes 1kg,90,kg
Watermelon 1pc,60,pack
Pineapple 1pc,70,pack
Kissan Jam 500g,140,pack
Kissan Sauce 1kg,120,pack
Ching's Soy Sauce 200ml,55,pack
Ching's Green Chilli Sauce 200ml,55,pack
MDH Garam Masala 100g,75,pack
Everest Turmeric 200g,70,pack
Everest Red Chilli 200g,90,pack
Everest Coriander Powder 200g,60,pack
Black Pepper 100g,120,pack
Jeera 200g,60,pack
Ajwain 200g,55,pack
Sugar Brown 1kg,60,kg
Jaggery 1kg,70,kg
Poha 1kg,60,kg
Sooji 1kg,50,kg
Maida 1kg,45,kg
Vermicelli 500g,35,pack
Instant Poha Cup,25,pack
Instant Upma Cup,28,pack
Idli Rava 1kg,50,kg
Dosa Batter 1kg,60,pack
Aloo Chips 100g,35,pack
Kurkure 80g,20,pack
Lays Chips 90g,30,pack
Bingo Mad Angles 90g,30,pack
Haldi Powder Loose 1kg,140,kg
Sabudana 1kg,70,kg
Dry Fruits Almonds 250g,200,pack
Dry Fruits Cashew 250g,260,pack
Raisin 250g,120,pack
Dates 500g,140,pack
Peanut 1kg,80,kg
Fox Nuts (Makhana) 100g,110,pack
Green Tea 25 bags,130,pack
Black Tea 25 bags,110,pack
Choco Chips 100g,50,pack
Custard Powder 100g,30,pack
Baking Soda 100g,20,pack
Baking Powder 100g,25,pack
Atta Noodles 70g,20,pack
Aloo Bhujia 150g,50,pack
Navratan Mixture 200g,60,pack
Moong Dal Namkeen 200g,55,pack
Rusk 200g,35,pack
Bhujia Sev 200g,45,pack
Lifebuoy Soap 100g,35,pack
Dettol Soap 100g,40,pack
Dove Soap 100g,60,pack
Clinic Plus Shampoo 180ml,95,pack
Head & Shoulders 180ml,120,pack
Pantene Shampoo 180ml,125,pack
Colgate 100g,55,pack
Pepsodent 100g,50,pack
Close-Up 100g,55,pack
Dettol Handwash 200ml,75,pack
Harpic Bathroom Cleaner 500ml,90,pack
Lizol Floor Cleaner 1L,160,pack
Surf Excel 1kg,140,pack
Ariel 1kg,160,pack
Tide 1kg,110,pack
Comfort Fabric Conditioner 1L,200,pack
Vim Bar 300g,20,pack
Vim Liquid 500ml,115,pack
Steel Scrubber 1pc,10,pack
Toilet Paper Roll 1pc,30,pack
Paper Napkin Pack,40,pack
Matchbox 1pc,5,pack
Candle 6pcs,20,pack
Good Knight Refill,75,pack
Good Knight Machine,180,pack
Agarbatti 1pack,20,pack
Phenyl 1L,60,pack
Detergent Bar 250g,15,pack
White Vinegar 500ml,40,pack
